
3,2,br,mg,cruzilia,,Municípios,Cruzília
3,2,br,mg,cuparaque,,Municípios,Cuparaque
3,2,br,mg,curral.dentro,,Municípios,Curral de Dentro
3,2,br,mg,curvelo,,Municípios,Curvelo
3,2,br,mg,datas,,Municípios,Datas
3,2,br,mg,delfim.moreira,,Municípios,Delfim Moreira
3,2,br,mg,delfinopolis,,Municípios,Delfinópolis
3,2,br,mg,delta,,Municípios,Delta
3,2,br,mg,descoberto,,Municípios,Descoberto
3,2,br,mg,desterro.entre.rios,,Municípios,Desterro de Entre Rios
3,2,br,mg,desterro.melo,,Municípios,Desterro do Melo
3,2,br,mg,diamantina,,Municípios,Diamantina
3,2,br,mg,diogo.vasconcelos,,Municípios,Diogo de Vasconcelos
3,2,br,mg,dionisio,,Municípios,Dionísio
3,2,br,mg,divinesia,,Municípios,Divinésia
3,2,br,mg,divino,,Municípios,Divino
3,2,br,mg,divino.laranjeiras,,Municípios,Divino das Laranjeiras
3,2,br,mg,divinolandia.minas,,Municípios,Divinolândia de Minas
3,2,br,mg,divisa.alegre,,Municípios,Divisa Alegre
3,2,br,mg,divisa.nova,,Municípios,Divisa Nova
3,2,br,mg,divisopolis,,Municípios,Divisópolis
3,2,br,mg,dom.bosco,,Municípios,Dom Bosco
3,2,br,mg,dom.cavati,,Municípios,Dom Cavati
3,2,br,mg,dom.joaquim,,Municípios,Dom Joaquim
3,2,br,mg,dom.silverio,,Municípios,Dom Silvério
3,2,br,mg,dom.vicoso,,Municípios,Dom Viçoso
3,2,br,mg,dona.eusebia,,Municípios,Dona Eusébia
3,2,br,mg,dores.campos,,Municípios,Dores de Campos
3,2,br,mg,dores.guanhaes,,Municípios,Dores de Guanhães
3,2,br,mg,dores.indaia,,Municípios,Dores do Indaiá
3,2,br,mg,dores.turvo,,Municípios,Dores do Turvo
3,2,br,mg,doresopolis,,Municípios,Doresópolis
3,2,br,mg,douradoquara,,Municípios,Douradoquara
3,2,br,mg,durande,,Municípios,Durandé
3,2,br,mg,eloi.mendes,,Municípios,Elói Mendes
3,2,br,mg,engenheiro.caldas,,Municípios,Engenheiro Caldas
3,2,br,mg,engenheiro.navarro,,Municípios,Engenheiro Navarro
3,2,br,mg,entre.folhas,,Municípios,Entre Folhas
3,2,br,mg,entre.rios.minas,,Municípios,Entre Rios de Minas
3,2,br,mg,ervalia,,Municípios,Ervália
3,2,br,mg,esmeraldas,,Municípios,Esmeraldas
3,2,br,mg,espera.feliz,,Municípios,Espera Feliz
3,2,br,mg,espinosa,,Municípios,Espinosa
3,2,br,mg,espirito.santo.dourado,,Municípios,Espírito Santo do Dourado
3,2,br,mg,estiva,,Municípios,Estiva
3,2,br,mg,estrela.dalva,,Municípios,Estrela Dalva
3,2,br,mg,estrela.indaia,,Municípios,Estrela do Indaiá
3,2,br,mg,estrela.sul,,Municípios,Estrela do Sul
3,2,br,mg,eugenopolis,,Municípios,Eugenópolis
3,2,br,mg,ewbank.camara,,Municípios,Ewbank da Câmara
3,2,br,mg,extrema,,Municípios,Extrema
3,2,br,mg,fama,,Municípios,Fama
3,2,br,mg,faria.lemos,,Municípios,Faria Lemos
3,2,br,mg,felicio.santos,,Municípios,Felício dos Santos
3,2,br,mg,felixlandia,,Municípios,Felixlândia
3,2,br,mg,felisburgo,,Municípios,Felisburgo
3,2,br,mg,fernandes.tourinho,,Municípios,Fernandes Tourinho
3,2,br,mg,ferros,,Municípios,Ferros
3,2,br,mg,fervedouro,,Municípios,Fervedouro
3,2,br,mg,florestal,,Municípios,Florestal
3,2,br,mg,formiga,,Municípios,Formiga
3,2,br,mg,formoso,,Municípios,Formoso
3,2,br,mg,fortaleza.minas,,Municípios,Fortaleza de Minas
3,2,br,mg,fortuna.minas,,Municípios,Fortuna de Minas
3,2,br,mg,francisco.badaro,,Municípios,Francisco Badaró
3,2,br,mg,francisco.dumont,,Municípios,Francisco Dumont
3,2,br,mg,francisco.sa,,Municípios,Francisco Sá
3,2,br,mg,franciscopolis,,Municípios,Franciscópolis
3,2,br,mg,frei.gaspar,,Municípios,Frei Gaspar
3,2,br,mg,frei.inocencio,,Municípios,Frei Inocêncio
3,2,br,mg,frei.lagonegro,,Municípios,Frei Lagonegro
3,2,br,mg,fronteira,,Municípios,Fronteira
3,2,br,mg,fronteira.vales,,Municípios,Fronteira dos Vales
3,2,br,mg,fruta.leite,,Municípios,Fruta de Leite
3,2,br,mg,frutal,,Municípios,Frutal
3,2,br,mg,funilandia,,Municípios,Funilândia
3,2,br,mg,galileia,,Municípios,Galiléia
3,2,br,mg,gameleiras,,Municípios,Gameleiras
3,2,br,mg,glaucilandia,,Municípios,Glaucilândia
3,2,br,mg,goiabeira,,Municípios,Goiabeira
3,2,br,mg,goiana,,Municípios,Goianá
3,2,br,mg,goncalves,,Municípios,Gonçalves
3,2,br,mg,gonzaga,,Municípios,Gonzaga
3,2,br,mg,gouveia,,Municípios,Gouveia
3,2,br,mg,governador.valadares,,Municípios,Governador Valadares
3,2,br,mg,grao.mogol,,Municípios,Grão Mogol
3,2,br,mg,grupiara,,Municípios,Grupiara
3,2,br,mg,guanhaes,,Municípios,Guanhães
3,2,br,mg,guape,,Municípios,Guapé
3,2,br,mg,guaraciaba,,Municípios,Guaraciaba
3,2,br,mg,guaraciama,,Municípios,Guaraciama
3,2,br,mg,guaranesia,,Municípios,Guaranésia
3,2,br,mg,guarani,,Municípios,Guarani
3,2,br,mg,guarara,,Municípios,Guarará
3,2,br,mg,guarda.mor,,Municípios,Guarda-Mor
3,2,br,mg,guaxupe,,Municípios,Guaxupé
3,2,br,mg,guidoval,,Municípios,Guidoval
3,2,br,mg,guimarania,,Municípios,Guimarânia
3,2,br,mg,guiricema,,Municípios,Guiricema
3,2,br,mg,gurinhata,,Municípios,Gurinhatã
3,2,br,mg,heliodora,,Municípios,Heliodora
3,2,br,mg,iapu,,Municípios,Iapu
3,2,br,mg,ibertioga,,Municípios,Ibertioga
3,2,br,mg,ibia,,Municípios,Ibiá
3,2,br,mg,ibiai,,Municípios,Ibiaí
3,2,br,mg,ibiracatu,,Municípios,Ibiracatu
3,2,br,mg,ibiraci,,Municípios,Ibiraci
3,2,br,mg,ibirite,,Municípios,Ibirité
3,2,br,mg,ibitiura.minas,,Municípios,Ibitiúra de Minas
3,2,br,mg,ibituruna,,Municípios,Ibituruna
3,2,br,mg,icarai.minas,,Municípios,Icaraí de Minas
3,2,br,mg,igarape,,Municípios,Igarapé
3,2,br,mg,igaratinga,,Municípios,Igaratinga
3,2,br,mg,iguatama,,Municípios,Iguatama
3,2,br,mg,ijaci,,Municípios,Ijaci
3,2,br,mg,ilicinea,,Municípios,Ilicínea
3,2,br,mg,imbe.minas,,Municípios,Imbé de Minas
3,2,br,mg,inconfidentes,,Municípios,Inconfidentes
3,2,br,mg,indaiabira,,Municípios,Indaiabira
3,2,br,mg,indianopolis,,Municípios,Indianópolis
3,2,br,mg,ingai,,Municípios,Ingaí
3,2,br,mg,inhapim,,Municípios,Inhapim
3,2,br,mg,inhauma,,Municípios,Inhaúma
3,2,br,mg,inimutaba,,Municípios,Inimutaba
3,2,br,mg,ipaba,,Municípios,Ipaba
3,2,br,mg,ipanema,,Municípios,Ipanema
3,2,br,mg,ipatinga,,Municípios,Ipatinga
3,2,br,mg,ipiacu,,Municípios,Ipiaçu
3,2,br,mg,ipuiuna,,Municípios,Ipuiuna
3,2,br,mg,irai.minas,,Municípios,Iraí de Minas
3,2,br,mg,itabira,,Municípios,Itabira
3,2,br,mg,itabirinha,,Municípios,Itabirinha
3,2,br,mg,itabirito,,Municípios,Itabirito
3,2,br,mg,itacambira,,Municípios,Itacambira
3,2,br,mg,itacarambi,,Municípios,Itacarambi
3,2,br,mg,itaguara,,Municípios,Itaguara
3,2,br,mg,itaipe,,Municípios,Itaipé
3,2,br,mg,itajuba,,Municípios,Itajubá
3,2,br,mg,itamarandiba,,Municípios,Itamarandiba
3,2,br,mg,itamarati.minas,,Municípios,Itamarati de Minas
3,2,br,mg,itambacuri,,Municípios,Itambacuri
3,2,br,mg,itambe.mato.dentro,,Municípios,Itambé do Mato Dentro
3,2,br,mg,itamogi,,Municípios,Itamogi
3,2,br,mg,itamonte,,Municípios,Itamonte
3,2,br,mg,itanhandu,,Municípios,Itanhandu
3,2,br,mg,itanhomi,,Municípios,Itanhomi
3,2,br,mg,itaobim,,Municípios,Itaobim
3,2,br,mg,itapagipe,,Municípios,Itapagipe
3,2,br,mg,itapecerica,,Municípios,Itapecerica
3,2,br,mg,itapeva,,Municípios,Itapeva
3,2,br,mg,itatiaiucu,,Municípios,Itatiaiuçu
3,2,br,mg,itau.minas,,Municípios,Itaú de Minas
3,2,br,mg,itauna,,Municípios,Itaúna
3,2,br,mg,itaverava,,Municípios,Itaverava
3,2,br,mg,itinga,,Municípios,Itinga
3,2,br,mg,itueta,,Municípios,Itueta
3,2,br,mg,ituiutaba,,Municípios,Ituiutaba
3,2,br,mg,itumirim,,Municípios,Itumirim
3,2,br,mg,iturama,,Municípios,Iturama
3,2,br,mg,itutinga,,Municípios,Itutinga
3,2,br,mg,jaboticatubas,,Municípios,Jaboticatubas
3,2,br,mg,jacinto,,Municípios,Jacinto
3,2,br,mg,jacui,,Municípios,Jacuí
3,2,br,mg,jacutinga,,Municípios,Jacutinga
3,2,br,mg,jaguaracu,,Municípios,Jaguaraçu
3,2,br,mg,jaiba,,Municípios,Jaíba
3,2,br,mg,jampruca,,Municípios,Jampruca
3,2,br,mg,janauba,,Municípios,Janaúba
3,2,br,mg,januaria,,Municípios,Januária
3,2,br,mg,japaraiba,,Municípios,Japaraíba
3,2,br,mg,japonvar,,Municípios,Japonvar
3,2,br,mg,jeceaba,,Municípios,Jeceaba
3,2,br,mg,jenipapo.minas,,Municípios,Jenipapo de Minas
3,2,br,mg,jequeri,,Municípios,Jequeri
3,2,br,mg,jequitai,,Municípios,Jequitaí
3,2,br,mg,jequitiba,,Municípios,Jequitibá
3,2,br,mg,jequitinhonha,,Municípios,Jequitinhonha
3,2,br,mg,jesuania,,Municípios,Jesuânia
3,2,br,mg,joaima,,Municípios,Joaíma
3,2,br,mg,joanesia,,Municípios,Joanésia
3,2,br,mg,joao.monlevade,,Municípios,João Monlevade
3,2,br,mg,joao.pinheiro,,Municípios,João Pinheiro
3,2,br,mg,joaquim.felicio,,Municípios,Joaquim Felício
3,2,br,mg,jordania,,Municípios,Jordânia
3,2,br,mg,jose.goncalves.minas,,Municípios,José Gonçalves de Minas
3,2,br,mg,jose.raydan,,Municípios,José Raydan
3,2,br,mg,josenopolis,,Municípios,Josenópolis
3,2,br,mg,juatuba,,Municípios,Juatuba
3,2,br,mg,juiz.fora,,Municípios,Juiz de Fora
3,2,br,mg,juramento,,Municípios,Juramento
3,2,br,mg,juruaia,,Municípios,Juruaia
3,2,br,mg,juvenilia,,Municípios,Juvenília
3,2,br,mg,ladainha,,Municípios,Ladainha
3,2,br,mg,lagamar,,Municípios,Lagamar
3,2,br,mg,lagoa.prata,,Municípios,Lagoa da Prata
3,2,br,mg,lagoa.patos,,Municípios,Lagoa dos Patos
3,2,br,mg,lagoa.dourada,,Municípios,Lagoa Dourada
3,2,br,mg,lagoa.formosa,,Municípios,Lagoa Formosa
3,2,br,mg,lagoa.grande,,Municípios,Lagoa Grande
3,2,br,mg,lagoa.santa,,Municípios,Lagoa Santa
